R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.125,0.0861244019138756,0.043478260869565216,0.018867924528301886,0.031055900621118012,0.027586206896551724,0.012903225806451613,0.0,0.0,0.0847457627118644
1,0.35,0.4258373205741627,0.22981366459627328,0.1761006289308176,0.2670807453416149,0.13793103448275862,0.2064516129032258,0.19626168224299065,0.19480519480519481,0.2033898305084746
2,0.1375,0.22009569377990432,0.2546583850931677,0.22012578616352202,0.17391304347826086,0.18620689655172415,0.1870967741935484,0.14018691588785046,0.12987012987012986,0.1864406779661017
3,0.06666666666666667,0.04784688995215311,0.09316770186335403,0.08176100628930817,0.06832298136645963,0.0896551724137931,0.07096774193548387,0.037383177570093455,0.05194805194805195,0.0847457627118644
4,0.025,0.019138755980861243,0.08074534161490683,0.06289308176100629,0.08074534161490683,0.05517241379310345,0.01935483870967742,0.04672897196261682,0.05194805194805195,0.11864406779661017
5,0.058333333333333334,0.0430622009569378,0.062111801242236024,0.1069182389937107,0.08074534161490683,0.05517241379310345,0.06451612903225806,0.09345794392523364,0.025974025974025976,0.05084745762711865
6,0.16666666666666666,0.11961722488038277,0.19875776397515527,0.2830188679245283,0.2360248447204969,0.3724137931034483,0.4064516129032258,0.34579439252336447,0.5324675324675324,0.2711864406779661
7,0.03333333333333333,0.014354066985645933,0.0,0.025157232704402517,0.012422360248447204,0.027586206896551724,0.0064516129032258064,0.07476635514018691,0.0,0.0
a2,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0
p,0.0375,0.023923444976076555,0.037267080745341616,0.025157232704402517,0.043478260869565216,0.04827586206896552,0.025806451612903226,0.06542056074766354,0.012987012987012988,0.0
