R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.020366598778004074,0.012219959266802444,0.0047522063815342835,0.002036659877800407,0.0033944331296673455,0.0027155465037338763,0.0013577732518669382,0.0,0.0,0.0033944331296673455
1,0.05702647657841141,0.06042090970807875,0.025118805159538356,0.019008825526137134,0.029192124915139173,0.013577732518669382,0.02172437202987101,0.014256619144602852,0.010183299389002037,0.008146639511201629
2,0.02240325865580448,0.031228784792939578,0.027834351663272233,0.02376103190767142,0.019008825526137134,0.018329938900203666,0.019687712152070606,0.010183299389002037,0.006788866259334691,0.00746775288526816
3,0.010862186014935505,0.006788866259334691,0.010183299389002037,0.008825526137135099,0.00746775288526816,0.008825526137135099,0.00746775288526816,0.0027155465037338763,0.0027155465037338763,0.0033944331296673455
4,0.004073319755600814,0.0027155465037338763,0.008825526137135099,0.006788866259334691,0.008825526137135099,0.005431093007467753,0.002036659877800407,0.0033944331296673455,0.0027155465037338763,0.0047522063815342835
5,0.009504412763068567,0.006109979633401222,0.006788866259334691,0.011541072640868975,0.008825526137135099,0.005431093007467753,0.006788866259334691,0.006788866259334691,0.0013577732518669382,0.002036659877800407
6,0.027155465037338764,0.01697216564833673,0.02172437202987101,0.03054989816700611,0.025797691785471828,0.03665987780040733,0.04276985743380855,0.025118805159538356,0.027834351663272233,0.010862186014935505
7,0.005431093007467753,0.002036659877800407,0.0,0.0027155465037338763,0.0013577732518669382,0.0027155465037338763,0.0006788866259334691,0.005431093007467753,0.0,0.0
a2,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0,0.0,0.0
p,0.006109979633401222,0.0033944331296673455,0.004073319755600814,0.0027155465037338763,0.0047522063815342835,0.0047522063815342835,0.0027155465037338763,0.0047522063815342835,0.0006788866259334691,0.0
