R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.2054794520547945,0.3561643835616438,0.0821917808219178,0.0273972602739726,0.1232876712328767,0.0410958904109589,0.0410958904109589,0.1095890410958904,0.0,0.0136986301369863
1,0.09642857142857143,0.5178571428571429,0.11785714285714285,0.04642857142857143,0.06428571428571428,0.025,0.06428571428571428,0.03571428571428571,0.0,0.03214285714285714
2,0.06976744186046512,0.4186046511627907,0.19767441860465115,0.040697674418604654,0.12790697674418605,0.05232558139534884,0.06976744186046512,0.01744186046511628,0.0,0.005813953488372093
3,0.02,0.4,0.22,0.04,0.08,0.06,0.12,0.02,0.0,0.04
4,0.05128205128205128,0.46153846153846156,0.20512820512820512,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.07692307692307693,0.0,0.0,0.0
5,0.07017543859649122,0.3508771929824561,0.19298245614035087,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.017543859649122806,0.0,0.0
6,0.045454545454545456,0.5636363636363636,0.1,0.0,0.13636363636363635,0.01818181818181818,0.10909090909090909,0.02727272727272727,0.0,0.0
7,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.18181818181818182,0.36363636363636365,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.0,0.0,0.030303030303030304
