R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.20270270270270271,0.06770833333333333,0.04918032786885246,0.06896551724137931,0.11688311688311688,0.09090909090909091,0.04477611940298507,0.2962962962962963,0.0,0.07142857142857142
1,0.36486486486486486,0.3776041666666667,0.27049180327868855,0.4482758620689655,0.23376623376623376,0.21212121212121213,0.26865671641791045,0.37037037037037035,0.0,0.6428571428571429
2,0.16216216216216217,0.1875,0.2786885245901639,0.2413793103448276,0.2857142857142857,0.2727272727272727,0.1791044776119403,0.1111111111111111,0.0,0.07142857142857142
3,0.013513513513513514,0.052083333333333336,0.09016393442622951,0.06896551724137931,0.05194805194805195,0.09090909090909091,0.08955223880597014,0.037037037037037035,0.0,0.14285714285714285
4,0.02702702702702703,0.046875,0.06557377049180328,0.034482758620689655,0.06493506493506493,0.06060606060606061,0.04477611940298507,0.0,0.0,0.0
5,0.05405405405405406,0.052083333333333336,0.09016393442622951,0.10344827586206896,0.03896103896103896,0.18181818181818182,0.13432835820895522,0.037037037037037035,0.0,0.0
6,0.06756756756756757,0.16145833333333334,0.09016393442622951,0.0,0.19480519480519481,0.06060606060606061,0.1791044776119403,0.1111111111111111,0.0,0.0
7,0.02702702702702703,0.020833333333333332,0.0,0.0,0.0,0.0,0.014925373134328358,0.037037037037037035,0.0,0.0
a2,0.0,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.08108108108108109,0.03125,0.06557377049180328,0.034482758620689655,0.012987012987012988,0.030303030303030304,0.04477611940298507,0.0,0.0,0.07142857142857142
