R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.018137847642079808,0.03143893591293833,0.007255139056831923,0.0024183796856106408,0.010882708585247884,0.0036275695284159614,0.0036275695284159614,0.009673518742442563,0.0,0.0012091898428053204
1,0.032648125755743655,0.17533252720677148,0.03990326481257558,0.015719467956469165,0.02176541717049577,0.008464328899637243,0.02176541717049577,0.012091898428053204,0.0,0.010882708585247884
2,0.014510278113663845,0.08706166868198308,0.041112454655380895,0.008464328899637243,0.026602176541717048,0.010882708585247884,0.014510278113663845,0.0036275695284159614,0.0,0.0012091898428053204
3,0.0012091898428053204,0.02418379685610641,0.013301088270858524,0.0024183796856106408,0.0048367593712212815,0.0036275695284159614,0.007255139056831923,0.0012091898428053204,0.0,0.0024183796856106408
4,0.0024183796856106408,0.02176541717049577,0.009673518742442563,0.0012091898428053204,0.006045949214026602,0.0024183796856106408,0.0036275695284159614,0.0,0.0,0.0
5,0.0048367593712212815,0.02418379685610641,0.013301088270858524,0.0036275695284159614,0.0036275695284159614,0.007255139056831923,0.010882708585247884,0.0012091898428053204,0.0,0.0
6,0.006045949214026602,0.07496977025392987,0.013301088270858524,0.0,0.018137847642079808,0.0024183796856106408,0.014510278113663845,0.0036275695284159614,0.0,0.0
7,0.0024183796856106408,0.009673518742442563,0.0,0.0,0.0,0.0,0.0012091898428053204,0.0012091898428053204,0.0,0.0
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.007255139056831923,0.014510278113663845,0.009673518742442563,0.0012091898428053204,0.0012091898428053204,0.0012091898428053204,0.0036275695284159614,0.0,0.0,0.0012091898428053204
