character,actual,predicted
1H4_Archbishop,1,1
1H4_Bardolph,5,1
1H4_Blunt,2,1
1H4_Chamberlain,6,1
1H4_Douglas,1,7
1H4_Falstaff,2,5
1H4_Gadshill,6,6
1H4_Glendower,0,2
1H4_HenryIV,0,7
1H4_HenryV,1,7
1H4_Hotspur,1,0
1H4_LadyPercy,1,1
1H4_MistressQuickly,4,1
1H4_Mortimer,1,1
1H4_Northumberland,1,1
1H4_Poins,2,1
1H4_TRAVELERS.CARRIERS.1,6,1
1H4_TRAVELERS.CARRIERS.2,6,1
1H4_Vernon,1,1
1H4_Westmoreland,1,1
1H4_Worcester,1,p
1H6_Alanson,1,6
1H6_Basset,2,1
1H6_Bastard,1,1
1H6_Bedford,1,0
1H6_Burgundy,1,6
1H6_CardinalBeaufort,1,0
1H6_Charles,0,7
1H6_Countess,1,1
1H6_Exeter,1,0
1H6_General,2,7
1H6_Gloucester,1,0
1H6_HenryVI,0,p
1H6_JohnTalbot,2,6
1H6_Lucy,2,4
1H6_MESSENGERS.ENGLISH.1,6,1
1H6_MESSENGERS.ENGLISH.3,6,4
1H6_MESSENGERS.FRENCH.1,6,1
1H6_MasterGunner,6,0
1H6_Mayor,3,1
1H6_Mortimer,1,1
1H6_Pucelle,p,1
1H6_QueenMargaret,1,2
1H6_Reignier,1,1
1H6_Salisbury,1,0
1H6_Shepherd,5,1
1H6_Somerset,1,1
1H6_Suffolk,1,1
1H6_Talbot,2,7
1H6_Vernon,2,1
1H6_Warwick,1,1
1H6_York,1,0
2H4_Archbishop,1,0
2H4_Bardolph,5,6
2H4_Bedford,1,1
2H4_Bullcalf,6,1
2H4_ChiefJustice,1,4
2H4_Chorus,p,1
2H4_Clarence,1,1
2H4_Davy,6,6
2H4_DollTearsheet,6,6
2H4_Epilogue,p,2
2H4_Falstaff,2,2
2H4_Gloucester,1,1
2H4_Hastings,1,0
2H4_HenryIV,0,7
2H4_HenryV,1,1
2H4_LadyPercy,1,1
2H4_LordBardolph,1,0
2H4_MistressQuickly,4,5
2H4_Morton,2,4
2H4_Mowbray,1,0
2H4_Northumberland,1,7
2H4_Pistol,6,1
2H4_Poins,2,5
2H4_SERVANTS.FALSTAFF.1,6,1
2H4_Shallow,2,5
2H4_Silence,2,1
2H4_Travers,6,1
2H4_Warwick,1,1
2H4_Westmoreland,1,4
2H6_Bevis,6,1
2H6_Bolingbroke,6,1
2H6_Buckingham,1,0
2H6_Cade,4,0
2H6_CardinalBeaufort,1,1
2H6_Clifford,1,1
2H6_Dick,4,6
2H6_DuchessOfGloucester,1,1
2H6_Gloucester,1,1
2H6_HenryVI,0,0
2H6_Holland,6,2
2H6_Horner,4,2
2H6_Hume,3,6
2H6_Iden,3,2
2H6_Lieutenant,6,0
2H6_QueenMargaret,0,1
2H6_RichardIII,1,1
2H6_Salisbury,1,1
2H6_Saye,1,2
2H6_Simpcox,6,6
2H6_Smith,4,1
2H6_Somerset,1,1
2H6_Stafford,2,1
2H6_Suffolk,1,1
2H6_Thump,5,6
2H6_Warwick,1,1
2H6_Whitmore,6,1
2H6_York,1,2
2H6_YoungClifford,1,1
3H6_Clarence,1,0
3H6_Clifford,1,1
3H6_EdwardIV,1,0
3H6_Exeter,1,1
3H6_Father,6,1
3H6_GAMEKEEPERS.1,5,1
3H6_GAMEKEEPERS.2,5,0
3H6_Hastings,1,1
3H6_HenryVI,0,7
3H6_KingLewis,0,0
3H6_MESSENGERS.Post,6,1
3H6_MESSENGERS.X.2,6,1
3H6_Montague,1,1
3H6_Montgomery,2,1
3H6_Northumberland,1,1
3H6_Oxford,1,1
3H6_PrinceEdward,1,1
3H6_QueenElizabeth,2,2
3H6_QueenMargaret,0,0
3H6_RichardIII,1,0
3H6_Rutland,1,1
3H6_Somerset,1,1
3H6_Son,6,1
3H6_Warwick,1,0
3H6_York,1,7
AWW_Bertram,1,2
AWW_Countess,1,3
AWW_Diana,4,2
AWW_Duke,1,1
AWW_Fool,p,4
AWW_GENTLEMEN.3,p,2
AWW_Helen,p,2
AWW_King,0,0
AWW_LORDS.DUMAINE.1,1,4
AWW_LORDS.DUMAINE.2,1,4
AWW_Lafew,1,3
AWW_Mariana,4,1
AWW_Parolles,4,2
AWW_SOLDIERS.Interpreter,6,4
AWW_Steward,4,6
AWW_Widow,4,6
AYL_Adam,6,6
AYL_Audrey,6,1
AYL_Celia,1,6
AYL_Charles,5,2
AYL_Corin,5,6
AYL_DukeFrederick,0,0
AYL_DukeSenior,0,4
AYL_Hymen,7,1
AYL_Jaques,1,3
AYL_LORDS.FREDERICK.LeBeau,2,4
AYL_LORDS.SENIOR.0.1,1,4
AYL_LORDS.SENIOR.Amiens,1,1
AYL_Oliver,2,1
AYL_Orlando,2,3
AYL_Phoebe,5,1
AYL_Rosalind,1,3
AYL_SERVANTS.1,6,1
AYL_SERVANTS.2,6,2
AYL_SecondBrother,2,1
AYL_Silvius,5,5
AYL_Touchstone,p,1
Ado_Balthasar,2,1
Ado_Beatrice,1,2
Ado_Benedick,1,3
Ado_Borachio,2,6
Ado_Claudio,1,2
Ado_Conrade,2,6
