R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.273972602739726,0.1780821917808219,0.0410958904109589,0.0684931506849315,0.1095890410958904,0.1095890410958904,0.0547945205479452,0.0684931506849315,0.0,0.0958904109589041
1,0.13214285714285715,0.19285714285714287,0.075,0.1,0.07142857142857142,0.08214285714285714,0.12142857142857143,0.10357142857142858,0.0035714285714285713,0.11785714285714285
2,0.06976744186046512,0.1569767441860465,0.09883720930232558,0.13953488372093023,0.11627906976744186,0.13953488372093023,0.05232558139534884,0.05232558139534884,0.0,0.1744186046511628
3,0.04,0.1,0.08,0.18,0.06,0.14,0.08,0.14,0.0,0.18
4,0.1282051282051282,0.02564102564102564,0.20512820512820512,0.10256410256410256,0.1282051282051282,0.20512820512820512,0.05128205128205128,0.1282051282051282,0.0,0.02564102564102564
5,0.07017543859649122,0.03508771929824561,0.05263157894736842,0.12280701754385964,0.14035087719298245,0.15789473684210525,0.15789473684210525,0.07017543859649122,0.0,0.19298245614035087
6,0.06363636363636363,0.11818181818181818,0.07272727272727272,0.13636363636363635,0.2,0.07272727272727272,0.14545454545454545,0.10909090909090909,0.0,0.08181818181818182
7,0.3333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.18181818181818182,0.0,0.09090909090909091,0.21212121212121213,0.06060606060606061,0.12121212121212122,0.06060606060606061,0.06060606060606061,0.0,0.21212121212121213
