R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.02418379685610641,0.015719467956469165,0.0036275695284159614,0.006045949214026602,0.009673518742442563,0.009673518742442563,0.0048367593712212815,0.006045949214026602,0.0,0.008464328899637243
1,0.044740024183796856,0.06529625151148731,0.02539298669891173,0.03385731559854897,0.02418379685610641,0.02781136638452237,0.041112454655380895,0.03506650544135429,0.0012091898428053204,0.03990326481257558
2,0.014510278113663845,0.032648125755743655,0.020556227327690448,0.02902055622732769,0.02418379685610641,0.02902055622732769,0.010882708585247884,0.010882708585247884,0.0,0.036275695284159616
3,0.0024183796856106408,0.006045949214026602,0.0048367593712212815,0.010882708585247884,0.0036275695284159614,0.008464328899637243,0.0048367593712212815,0.008464328899637243,0.0,0.010882708585247884
4,0.006045949214026602,0.0012091898428053204,0.009673518742442563,0.0048367593712212815,0.006045949214026602,0.009673518742442563,0.0024183796856106408,0.006045949214026602,0.0,0.0012091898428053204
5,0.0048367593712212815,0.0024183796856106408,0.0036275695284159614,0.008464328899637243,0.009673518742442563,0.010882708585247884,0.010882708585247884,0.0048367593712212815,0.0,0.013301088270858524
6,0.008464328899637243,0.015719467956469165,0.009673518742442563,0.018137847642079808,0.026602176541717048,0.009673518742442563,0.019347037484885126,0.014510278113663845,0.0,0.010882708585247884
7,0.0048367593712212815,0.0012091898428053204,0.0,0.0,0.0012091898428053204,0.0,0.0012091898428053204,0.0048367593712212815,0.0,0.0012091898428053204
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.007255139056831923,0.0,0.0036275695284159614,0.008464328899637243,0.0024183796856106408,0.0048367593712212815,0.0024183796856106408,0.0024183796856106408,0.0,0.008464328899637243
