character,actual,predicted
1H4_Falstaff,2,5
1H4_HenryV,1,0
1H4_Hotspur,1,0
1H6_Charles,0,0
1H6_HenryVI,0,0
2H4_ChiefJustice,1,4
2H4_Falstaff,2,1
2H4_HenryV,1,1
AWW_Bertram,1,2
AWW_Fool,p,6
AWW_Helen,p,2
AYL_DukeFrederick,0,0
AYL_Rosalind,1,5
Ado_Beatrice,1,2
Ado_Dogberry,4,5
Ado_DonJohn,1,p
Ant_Antony,0,3
Ant_Octavius,0,1
Cor_Coriolanus,1,1
Cor_TRIBUNES.Brutus,4,4
Cym_Cloten,1,1
Cym_Iachimo,2,1
Cym_Imogen,1,2
Err_AntipholusOfEphesus,2,0
Err_AntipholusOfSyracuse,2,0
Err_DromioOfEphesus,6,5
Err_DromioOfSyracuse,6,5
H5_Dauphin,1,0
H5_HenryV,0,0
H8_HenryVIII,0,1
H8_Wolsey,1,1
Ham_Claudius,0,0
Ham_Gravedigger,5,4
Ham_Hamlet,1,1
JC_Antony,1,1
JC_Brutus,1,1
Jn_KingJohn,0,0
Jn_KingPhilip,0,0
LLL_Costard,p,6
LLL_King,0,0
LLL_Princess,0,0
Lr_Fool,p,0
Lr_Goneril,1,6
Lr_Lear,0,0
MM_Angelo,1,p
MM_Duke,0,p
MM_Pompey,6,5
MND_Bottom,5,2
MV_LanceletGobbo,5,3
MV_Portia,1,1
MV_Shylock,3,1
Mac_Macbeth,0,1
Mac_Porter,6,4
Oth_Clown,p,1
Oth_Iago,2,1
Oth_Othello,1,1
Per_Antiochus,0,0
Per_Pericles,0,1
R2_HenryIV,1,1
R2_RichardII,0,0
R3_RichardIII,1,1
Rom_Romeo,1,0
Rom_Tybalt,1,0
Shr_Grumio,3,5
Shr_Petruchio,2,3
TGV_Lance,5,5
TGV_Proteus,2,2
TGV_Speed,5,6
TGV_Valentine,2,2
TNK_Theseus,0,0
TN_Feste,p,2
TN_Malvolio,2,2
TN_Viola,2,2
Tim_Fool,6,1
Tim_Timon,p,0
Tit_Aaron,2,1
Tit_CountryFellow,6,p
Tit_Titus,1,1
Tmp_Antonio,1,p
Tmp_Prospero,0,0
Tro_Thersites,5,0
Tro_Troilus,1,0
WT_Autolycus,p,2
WT_Leontes,0,1
WT_Polixenes,0,0
Wiv_Falstaff,2,2
Wiv_MistressPage,3,1
