                           Summary of Options: gender                           


        Emphasis:   overall = 73.89%   average = 67.44%   f1 = 61.94%   mcc = 28.65%
    Not Emphasis:   overall = 71.18%   average = 64.69%   f1 = 59.09%   mcc = 23.65%

     Vowels-Only:   overall = 72.04%   average = 64.11%   f1 = 59.21%   mcc = 23.29%
 Not Vowels-Only:   overall = 73.03%   average = 68.02%   f1 = 61.81%   mcc = 29.01%

     Percentages:   overall = 68.46%   average = 66.23%   f1 = 58.51%   mcc = 24.85%
 Not Percentages:   overall = 76.61%   average = 65.90%   f1 = 62.52%   mcc = 27.45%

             All:   overall = 73.28%   average = 62.88%   f1 = 55.97%   mcc = 21.21%
         Min-100:   overall = 71.05%   average = 64.78%   f1 = 60.24%   mcc = 24.67%
         Min-250:   overall = 73.57%   average = 66.93%   f1 = 63.03%   mcc = 28.92%
         Min-500:   overall = 71.66%   average = 68.10%   f1 = 63.18%   mcc = 30.33%
        Min-1000:   overall = 69.47%   average = 65.85%   f1 = 61.39%   mcc = 26.66%
        Min-2500:   overall = 76.22%   average = 69.00%   f1 = 65.06%   mcc = 32.54%
       No-Others:   overall = 73.56%   average = 68.06%   f1 = 57.89%   mcc = 24.33%

