character,character,gender,genre,k_means_cluster,role,status,word_count
1H4_Archbishop,1H4_Archbishop,m,history,0,other,1,258
1H4_Bardolph,1H4_Bardolph,m,history,0,other,5,201
1H4_Bedford,1H4_Bedford,m,history,1,other,1,64
1H4_Blunt,1H4_Blunt,m,history,0,other,2,299
1H4_Chamberlain,1H4_Chamberlain,m,history,0,other,6,149
1H4_DRAWERS.Francis,1H4_DRAWERS.Francis,m,history,1,other,6,83
1H4_Douglas,1H4_Douglas,m,history,0,other,1,341
1H4_Falstaff,1H4_Falstaff,m,history,0,fool,2,5510
1H4_Gadshill,1H4_Gadshill,m,history,0,other,6,343
1H4_Glendower,1H4_Glendower,m,history,0,other,0,608
1H4_HenryIV,1H4_HenryIV,m,history,0,other,0,2555
1H4_HenryV,1H4_HenryV,m,history,0,protag,1,4368
1H4_Hotspur,1H4_Hotspur,m,history,0,antag,1,4326
1H4_LadyPercy,1H4_LadyPercy,f,history,0,other,1,419
1H4_MESSENGERS.1,1H4_MESSENGERS.1,m,history,1,other,6,7
1H4_MESSENGERS.2,1H4_MESSENGERS.2,m,history,0,other,6,8
1H4_MESSENGERS.X,1H4_MESSENGERS.X,m,history,0,other,6,49
1H4_MistressQuickly,1H4_MistressQuickly,f,history,0,other,4,411
1H4_Mortimer,1H4_Mortimer,m,history,0,other,1,444
1H4_Northumberland,1H4_Northumberland,m,history,0,other,1,170
1H4_Ostler,1H4_Ostler,m,history,1,other,6,2
1H4_Peto,1H4_Peto,m,history,0,other,6,93
1H4_Poins,1H4_Poins,m,history,0,other,2,546
1H4_SERVANTS.HOTSPUR.1,1H4_SERVANTS.HOTSPUR.1,m,history,1,other,6,19
1H4_Sheriff,1H4_Sheriff,m,history,0,other,4,59
1H4_SirMichael,1H4_SirMichael,m,history,0,other,2,53
1H4_TRAVELERS.CARRIERS,1H4_TRAVELERS.CARRIERS,m,history,0,other,3,3
1H4_TRAVELERS.CARRIERS.1,1H4_TRAVELERS.CARRIERS.1,m,history,0,other,6,175
1H4_TRAVELERS.CARRIERS.2,1H4_TRAVELERS.CARRIERS.2,m,history,0,other,6,140
1H4_TRAVELERS.CARRIERS.X,1H4_TRAVELERS.CARRIERS.X,m,history,0,other,6,4
1H4_TRAVELERS.GENTLEMEN,1H4_TRAVELERS.GENTLEMEN,m,history,0,other,3,12
1H4_TRAVELERS.GENTLEMEN.0.1,1H4_TRAVELERS.GENTLEMEN.0.1,m,history,0,other,4,31
1H4_Vernon,1H4_Vernon,m,history,0,other,1,460
1H4_Vintner,1H4_Vintner,m,history,0,other,6,33
1H4_Westmoreland,1H4_Westmoreland,m,history,0,other,1,297
1H4_Worcester,1H4_Worcester,m,history,0,other,1,1421
1H6_Alanson,1H6_Alanson,m,history,0,other,1,359
1H6_Basset,1H6_Basset,m,history,0,other,2,191
1H6_Bastard,1H6_Bastard,m,history,0,other,1,222
1H6_Bedford,1H6_Bedford,m,history,0,other,1,595
1H6_Boy,1H6_Boy,m,history,1,other,6,32
1H6_Burgundy,1H6_Burgundy,m,history,0,other,1,334
1H6_CardinalBeaufort,1H6_CardinalBeaufort,m,history,0,other,1,727
1H6_Charles,1H6_Charles,m,history,0,antag,0,1019
