character,character,gender,genre,k_means_cluster,role,status,word_count
1H4_Falstaff,1H4_Falstaff,m,history,0,fool,2,5510
1H4_HenryIV,1H4_HenryIV,m,history,1,other,0,2555
1H4_HenryV,1H4_HenryV,m,history,1,protag,1,4368
1H4_Hotspur,1H4_Hotspur,m,history,1,antag,1,4326
1H6_Talbot,1H6_Talbot,m,history,1,other,2,3109
2H4_Falstaff,2H4_Falstaff,m,history,1,fool,2,5477
2H6_QueenMargaret,2H6_QueenMargaret,f,history,1,other,0,2503
2H6_York,2H6_York,m,history,1,other,1,2990
3H6_EdwardIV,3H6_EdwardIV,m,history,2,other,1,3483
3H6_HenryVI,3H6_HenryVI,m,history,0,other,0,2904
3H6_RichardIII,3H6_RichardIII,m,history,2,other,1,3174
3H6_Warwick,3H6_Warwick,m,history,1,other,1,3414
AWW_Helen,AWW_Helen,f,comedy,2,protag,p,3586
AWW_King,AWW_King,m,comedy,2,other,0,2831
AWW_Parolles,AWW_Parolles,m,comedy,1,other,4,2995
AYL_Rosalind,AYL_Rosalind,f,comedy,2,protag,1,5697
Ado_Benedick,Ado_Benedick,m,comedy,0,other,1,3761
Ado_Leonato,Ado_Leonato,m,comedy,0,other,1,2642
Ant_Antony,Ant_Antony,m,tragedy,0,protag,0,5998
Ant_Cleopatra,Ant_Cleopatra,f,tragedy,0,other,0,4695
Ant_Octavius,Ant_Octavius,m,tragedy,1,antag,0,2889
Cor_Coriolanus,Cor_Coriolanus,m,tragedy,2,protag,1,6481
Cor_Menenius,Cor_Menenius,m,tragedy,2,other,1,4288
Cym_Belarius,Cym_Belarius,m,tragedy,2,other,1,2503
Cym_Iachimo,Cym_Iachimo,m,tragedy,1,antag,2,3193
Cym_Imogen,Cym_Imogen,f,tragedy,0,protag,1,4417
Cym_Posthumus,Cym_Posthumus,m,tragedy,2,other,2,3391
H5_Fluellen,H5_Fluellen,m,history,1,other,4,2501
H5_HenryV,H5_HenryV,m,history,1,protag,0,8332
H8_HenryVIII,H8_HenryVIII,m,history,2,protag,0,3370
H8_Katherine,H8_Katherine,f,history,2,other,0,2885
H8_Wolsey,H8_Wolsey,m,history,1,antag,1,3200
Ham_Claudius,Ham_Claudius,m,tragedy,1,antag,0,4084
Ham_Hamlet,Ham_Hamlet,m,tragedy,1,protag,1,11613
Ham_Polonius,Ham_Polonius,m,tragedy,2,other,1,2662
JC_Antony,JC_Antony,m,tragedy,2,antag,1,2537
JC_Brutus,JC_Brutus,m,tragedy,2,protag,1,5388
JC_Cassius,JC_Cassius,m,tragedy,2,other,1,3708
Jn_Bastard,Jn_Bastard,m,history,1,other,1,4087
Jn_KingJohn,Jn_KingJohn,m,history,1,protag,0,3309
LLL_Berowne,LLL_Berowne,m,comedy,2,other,2,4594
Lr_Edgar,Lr_Edgar,m,tragedy,2,other,1,2903
Lr_Gloucester,Lr_Gloucester,m,tragedy,2,other,1,2531
Lr_Kent,Lr_Kent,m,tragedy,2,other,1,2586
Lr_Lear,Lr_Lear,m,tragedy,0,protag,0,5601
MM_Duke,MM_Duke,m,comedy,2,protag,0,6533
MM_Isabella,MM_Isabella,f,comedy,2,other,2,3018
MV_Bassanio,MV_Bassanio,m,comedy,2,other,2,2593
MV_Portia,MV_Portia,f,comedy,2,protag,1,4599
MV_Shylock,MV_Shylock,m,comedy,2,antag,3,2881
Mac_Macbeth,Mac_Macbeth,m,tragedy,1,protag,0,5310
Oth_Desdemona,Oth_Desdemona,f,tragedy,0,other,1,2755
Oth_Iago,Oth_Iago,m,tragedy,2,antag,2,8438
Oth_Othello,Oth_Othello,m,tragedy,2,protag,1,6263
Per_Pericles,Per_Pericles,m,comedy,0,protag,0,4580
R2_HenryIV,R2_HenryIV,m,history,1,antag,1,3117
R2_RichardII,R2_RichardII,m,history,1,protag,0,5986
R3_Buckingham,R3_Buckingham,m,history,1,other,1,2918
R3_RichardIII,R3_RichardIII,m,history,2,protag,1,8833
Rom_FriarLawrence,Rom_FriarLawrence,m,tragedy,2,other,2,2722
Rom_Juliet,Rom_Juliet,f,tragedy,0,other,1,4265
Rom_Romeo,Rom_Romeo,m,tragedy,0,protag,1,4673
Shr_Petruchio,Shr_Petruchio,m,comedy,0,protag,2,4609
TGV_Proteus,TGV_Proteus,m,comedy,0,antag,2,3350
TGV_Valentine,TGV_Valentine,m,comedy,0,protag,2,2821
TNK_Arcite,TNK_Arcite,m,comedy,2,other,1,3671
TNK_Daughter,TNK_Daughter,f,comedy,2,other,5,2675
TNK_Emilia,TNK_Emilia,f,comedy,1,other,1,2713
TNK_Palamon,TNK_Palamon,m,comedy,0,other,1,4252
TN_TobyBelch,TN_TobyBelch,m,comedy,1,other,2,2694
TN_Viola,TN_Viola,f,comedy,0,protag,2,2564
Tim_Timon,Tim_Timon,m,tragedy,2,protag,p,6336
Tit_Aaron,Tit_Aaron,m,tragedy,1,antag,2,2805
Tit_Titus,Tit_Titus,m,tragedy,2,protag,1,5712
Tmp_Prospero,Tmp_Prospero,m,comedy,2,protag,0,4712
Tro_Pandarus,Tro_Pandarus,m,tragedy,2,other,2,3154
Tro_Troilus,Tro_Troilus,m,tragedy,2,protag,1,3962
Tro_Ulysses,Tro_Ulysses,m,tragedy,1,other,2,3520
WT_Leontes,WT_Leontes,m,comedy,0,protag,0,4903
Wiv_Falstaff,Wiv_Falstaff,m,comedy,0,antag,2,3649
Wiv_MasterFord,Wiv_MasterFord,m,comedy,0,other,3,2530
Wiv_MistressPage,Wiv_MistressPage,f,comedy,2,protag,3,2528
