character,character,gender,genre,k_means_cluster,role,status,word_count
1H4_Archbishop,1H4_Archbishop,m,history,3,other,1,258
1H4_Bardolph,1H4_Bardolph,m,history,4,other,5,201
1H4_Blunt,1H4_Blunt,m,history,3,other,2,299
1H4_Chamberlain,1H4_Chamberlain,m,history,4,other,6,149
1H4_Douglas,1H4_Douglas,m,history,0,other,1,341
1H4_Falstaff,1H4_Falstaff,m,history,4,fool,2,5510
1H4_Gadshill,1H4_Gadshill,m,history,4,other,6,343
1H4_Glendower,1H4_Glendower,m,history,3,other,0,608
1H4_HenryIV,1H4_HenryIV,m,history,3,other,0,2555
1H4_HenryV,1H4_HenryV,m,history,4,protag,1,4368
1H4_Hotspur,1H4_Hotspur,m,history,4,antag,1,4326
1H4_LadyPercy,1H4_LadyPercy,f,history,4,other,1,419
1H4_MistressQuickly,1H4_MistressQuickly,f,history,2,other,4,411
1H4_Mortimer,1H4_Mortimer,m,history,4,other,1,444
1H4_Northumberland,1H4_Northumberland,m,history,0,other,1,170
1H4_Poins,1H4_Poins,m,history,4,other,2,546
1H4_TRAVELERS.CARRIERS.1,1H4_TRAVELERS.CARRIERS.1,m,history,2,other,6,175
1H4_TRAVELERS.CARRIERS.2,1H4_TRAVELERS.CARRIERS.2,m,history,3,other,6,140
1H4_Vernon,1H4_Vernon,m,history,3,other,1,460
1H4_Westmoreland,1H4_Westmoreland,m,history,3,other,1,297
1H4_Worcester,1H4_Worcester,m,history,3,other,1,1421
1H6_Alanson,1H6_Alanson,m,history,1,other,1,359
1H6_Basset,1H6_Basset,m,history,3,other,2,191
1H6_Bastard,1H6_Bastard,m,history,0,other,1,222
1H6_Bedford,1H6_Bedford,m,history,4,other,1,595
1H6_Burgundy,1H6_Burgundy,m,history,1,other,1,334
1H6_CardinalBeaufort,1H6_CardinalBeaufort,m,history,3,other,1,727
1H6_Charles,1H6_Charles,m,history,4,antag,0,1019
1H6_Countess,1H6_Countess,f,history,4,other,1,350
1H6_Exeter,1H6_Exeter,m,history,0,other,1,444
1H6_General,1H6_General,m,history,3,other,2,202
1H6_Gloucester,1H6_Gloucester,m,history,4,other,1,1401
1H6_HenryVI,1H6_HenryVI,m,history,3,protag,0,1330
1H6_JohnTalbot,1H6_JohnTalbot,m,history,2,other,2,400
1H6_Lucy,1H6_Lucy,m,history,3,other,2,586
1H6_MESSENGERS.ENGLISH.1,1H6_MESSENGERS.ENGLISH.1,m,history,3,other,6,126
1H6_MESSENGERS.ENGLISH.3,1H6_MESSENGERS.ENGLISH.3,m,history,3,other,6,338
1H6_MESSENGERS.FRENCH.1,1H6_MESSENGERS.FRENCH.1,m,history,4,other,6,102
1H6_MasterGunner,1H6_MasterGunner,m,history,0,other,6,138
1H6_Mayor,1H6_Mayor,m,history,3,other,3,151
1H6_Mortimer,1H6_Mortimer,m,history,0,other,1,651
1H6_QueenMargaret,1H6_QueenMargaret,f,history,2,other,1,254
1H6_Reignier,1H6_Reignier,m,history,4,other,1,444
1H6_Salisbury,1H6_Salisbury,m,history,0,other,1,113
1H6_Shepherd,1H6_Shepherd,m,history,2,other,5,201
1H6_Somerset,1H6_Somerset,m,history,0,other,1,513
1H6_Suffolk,1H6_Suffolk,m,history,4,other,1,1304
1H6_Talbot,1H6_Talbot,m,history,4,other,2,3109
1H6_Vernon,1H6_Vernon,m,history,4,other,2,237
1H6_Warwick,1H6_Warwick,m,history,0,other,1,542
1H6_York,1H6_York,m,history,4,other,1,1385
2H4_Archbishop,2H4_Archbishop,m,history,3,other,1,1094
2H4_Bardolph,2H4_Bardolph,m,history,4,other,5,310
2H4_Bedford,2H4_Bedford,m,history,4,other,1,812
2H4_Bullcalf,2H4_Bullcalf,m,history,2,other,6,109
2H4_ChiefJustice,2H4_ChiefJustice,m,history,3,antag,1,1137
2H4_Clarence,2H4_Clarence,m,history,4,other,1,170
2H4_Davy,2H4_Davy,m,history,3,other,6,276
2H4_DollTearsheet,2H4_DollTearsheet,f,history,4,other,6,638
2H4_Falstaff,2H4_Falstaff,m,history,4,fool,2,5477
2H4_Gloucester,2H4_Gloucester,m,history,1,other,1,122
2H4_Hastings,2H4_Hastings,m,history,3,other,1,415
2H4_HenryIV,2H4_HenryIV,m,history,4,other,0,2281
2H4_HenryV,2H4_HenryV,m,history,4,protag,1,2445
2H4_LadyPercy,2H4_LadyPercy,f,history,3,other,1,372
2H4_LordBardolph,2H4_LordBardolph,m,history,3,other,1,643
2H4_MistressQuickly,2H4_MistressQuickly,f,history,4,other,4,1425
2H4_Morton,2H4_Morton,m,history,3,other,2,633
2H4_Mowbray,2H4_Mowbray,m,history,3,other,1,434
2H4_Northumberland,2H4_Northumberland,m,history,3,other,1,819
2H4_Pistol,2H4_Pistol,m,history,4,other,6,553
2H4_Poins,2H4_Poins,m,history,4,other,2,474
2H4_SERVANTS.FALSTAFF.1,2H4_SERVANTS.FALSTAFF.1,m,history,4,other,6,214
2H4_Shallow,2H4_Shallow,m,history,1,other,2,1570
2H4_Silence,2H4_Silence,m,history,3,other,2,257
2H4_Travers,2H4_Travers,m,history,1,other,6,112
2H4_Warwick,2H4_Warwick,m,history,0,other,1,573
2H4_Westmoreland,2H4_Westmoreland,m,history,3,other,1,851
2H6_Bevis,2H6_Bevis,m,history,3,other,6,168
2H6_Bolingbroke,2H6_Bolingbroke,m,history,3,other,6,181
2H6_Buckingham,2H6_Buckingham,m,history,3,other,1,562
2H6_Cade,2H6_Cade,m,history,4,other,4,2142
2H6_CardinalBeaufort,2H6_CardinalBeaufort,m,history,3,other,1,816
2H6_Clifford,2H6_Clifford,m,history,4,other,1,468
2H6_Dick,2H6_Dick,m,history,1,other,4,327
2H6_DuchessOfGloucester,2H6_DuchessOfGloucester,f,history,4,other,1,963
2H6_Gloucester,2H6_Gloucester,m,history,4,other,1,2346
2H6_HenryVI,2H6_HenryVI,m,history,4,other,0,2480
2H6_Holland,2H6_Holland,m,history,1,other,6,189
2H6_Horner,2H6_Horner,m,history,2,other,4,171
2H6_Hume,2H6_Hume,m,history,3,other,3,244
2H6_Iden,2H6_Iden,m,history,2,other,3,432
2H6_Lieutenant,2H6_Lieutenant,m,history,3,other,6,480
2H6_QueenMargaret,2H6_QueenMargaret,f,history,4,other,0,2503
2H6_RichardIII,2H6_RichardIII,m,history,0,other,1,195
2H6_Salisbury,2H6_Salisbury,m,history,3,other,1,723
2H6_Saye,2H6_Saye,m,history,0,other,1,361
2H6_Simpcox,2H6_Simpcox,m,history,2,other,6,167
2H6_Smith,2H6_Smith,m,history,0,other,4,164
2H6_Somerset,2H6_Somerset,m,history,3,other,1,182
2H6_Stafford,2H6_Stafford,m,history,3,other,2,112
2H6_Suffolk,2H6_Suffolk,m,history,4,other,1,2306
2H6_Thump,2H6_Thump,m,history,2,other,5,197
2H6_Warwick,2H6_Warwick,m,history,4,other,1,1065
2H6_Whitmore,2H6_Whitmore,m,history,2,other,6,153
2H6_York,2H6_York,m,history,4,other,1,2990
2H6_YoungClifford,2H6_YoungClifford,m,history,4,other,1,346
3H6_Clarence,3H6_Clarence,m,history,4,other,1,836
3H6_Clifford,3H6_Clifford,m,history,4,other,1,1092
3H6_EdwardIV,3H6_EdwardIV,m,history,4,other,1,3483
3H6_Exeter,3H6_Exeter,m,history,1,other,1,136
3H6_Father,3H6_Father,m,history,2,other,6,218
3H6_GAMEKEEPERS.1,3H6_GAMEKEEPERS.1,m,history,0,other,5,147
3H6_GAMEKEEPERS.2,3H6_GAMEKEEPERS.2,m,history,0,other,5,123
3H6_Hastings,3H6_Hastings,m,history,0,other,1,158
3H6_HenryVI,3H6_HenryVI,m,history,4,other,0,2904
3H6_KingLewis,3H6_KingLewis,m,history,0,other,0,516
3H6_MESSENGERS.Post,3H6_MESSENGERS.Post,m,history,0,other,6,224
3H6_MESSENGERS.X.2,3H6_MESSENGERS.X.2,m,history,3,other,6,162
3H6_Montague,3H6_Montague,m,history,3,other,1,118
3H6_Montgomery,3H6_Montgomery,m,history,2,other,2,119
3H6_Northumberland,3H6_Northumberland,m,history,0,other,1,244
3H6_Oxford,3H6_Oxford,m,history,4,other,1,277
3H6_PrinceEdward,3H6_PrinceEdward,m,history,2,other,1,358
3H6_QueenElizabeth,3H6_QueenElizabeth,f,history,2,other,2,594
3H6_QueenMargaret,3H6_QueenMargaret,f,history,4,other,0,2246
3H6_RichardIII,3H6_RichardIII,m,history,4,other,1,3174
3H6_Rutland,3H6_Rutland,m,history,0,other,1,196
3H6_Somerset,3H6_Somerset,m,history,0,other,1,262
3H6_Son,3H6_Son,m,history,2,other,6,190
3H6_Warwick,3H6_Warwick,m,history,4,other,1,3414
3H6_York,3H6_York,m,history,4,other,1,1358
AWW_Bertram,AWW_Bertram,m,comedy,4,antag,1,2033
AWW_Countess,AWW_Countess,f,comedy,4,other,1,2175
AWW_Diana,AWW_Diana,f,comedy,2,other,4,1024
AWW_Duke,AWW_Duke,m,comedy,3,other,1,124
AWW_King,AWW_King,m,comedy,4,other,0,2831
AWW_LORDS.DUMAINE.1,AWW_LORDS.DUMAINE.1,m,comedy,3,other,1,1100
AWW_LORDS.DUMAINE.2,AWW_LORDS.DUMAINE.2,m,comedy,0,other,1,837
AWW_Lafew,AWW_Lafew,m,comedy,4,other,1,2219
AWW_Mariana,AWW_Mariana,f,comedy,3,other,4,172
AWW_Parolles,AWW_Parolles,m,comedy,4,other,4,2995
AWW_SOLDIERS.Interpreter,AWW_SOLDIERS.Interpreter,m,comedy,4,other,6,607
AWW_Steward,AWW_Steward,m,comedy,4,other,4,345
AWW_Widow,AWW_Widow,f,comedy,4,other,4,435
AYL_Adam,AYL_Adam,m,comedy,2,other,6,513
AYL_Audrey,AYL_Audrey,f,comedy,4,other,6,149
AYL_Celia,AYL_Celia,f,comedy,4,other,1,2106
AYL_Charles,AYL_Charles,m,comedy,4,other,5,375
AYL_Corin,AYL_Corin,m,comedy,4,other,5,549
AYL_DukeFrederick,AYL_DukeFrederick,m,comedy,0,antag,0,529
AYL_DukeSenior,AYL_DukeSenior,m,comedy,4,other,0,808
AYL_Hymen,AYL_Hymen,m,comedy,0,other,7,134
AYL_Jaques,AYL_Jaques,m,comedy,4,other,1,1769
AYL_LORDS.FREDERICK.LeBeau,AYL_LORDS.FREDERICK.LeBeau,m,comedy,3,other,2,371
AYL_LORDS.SENIOR.0.1,AYL_LORDS.SENIOR.0.1,m,comedy,3,other,1,359
AYL_LORDS.SENIOR.Amiens,AYL_LORDS.SENIOR.Amiens,m,comedy,1,other,1,278
AYL_Oliver,AYL_Oliver,m,comedy,0,other,2,1164
AYL_Orlando,AYL_Orlando,m,comedy,4,other,2,2370
AYL_Phoebe,AYL_Phoebe,f,comedy,2,other,5,694
AYL_Rosalind,AYL_Rosalind,f,comedy,4,protag,1,5697
AYL_SERVANTS.1,AYL_SERVANTS.1,m,comedy,0,other,6,213
AYL_SERVANTS.2,AYL_SERVANTS.2,m,comedy,0,other,6,196
AYL_SecondBrother,AYL_SecondBrother,m,comedy,0,other,2,128
AYL_Silvius,AYL_Silvius,m,comedy,1,other,5,540
Ado_Balthasar,Ado_Balthasar,m,comedy,1,other,2,180
Ado_Beatrice,Ado_Beatrice,f,comedy,0,protag,1,2359
Ado_Benedick,Ado_Benedick,m,comedy,4,other,1,3761
Ado_Borachio,Ado_Borachio,m,comedy,4,other,2,997
Ado_Claudio,Ado_Claudio,m,comedy,0,other,1,2012
Ado_Conrade,Ado_Conrade,m,comedy,3,other,2,248
Ado_Dogberry,Ado_Dogberry,m,comedy,4,fool,4,1541
Ado_DonJohn,Ado_DonJohn,m,comedy,0,antag,1,900
Ado_DonPedro,Ado_DonPedro,m,comedy,4,other,0,2461
Ado_FriarFrancis,Ado_FriarFrancis,m,comedy,3,other,2,592
Ado_Hero,Ado_Hero,f,comedy,4,other,1,980
Ado_Leonato,Ado_Leonato,m,comedy,2,other,1,2642
Ado_LeonatosBrother,Ado_LeonatosBrother,m,comedy,4,other,1,396
Ado_MESSENGERS.LEONATO.1,Ado_MESSENGERS.LEONATO.1,m,comedy,3,other,2,211
Ado_Margaret,Ado_Margaret,f,comedy,4,other,2,548
Ado_Sexton,Ado_Sexton,m,comedy,3,other,5,106
Ado_Ursula,Ado_Ursula,f,comedy,3,other,2,362
Ado_Verges,Ado_Verges,m,comedy,0,other,5,185
Ado_WATCHMEN.1,Ado_WATCHMEN.1,m,comedy,0,other,6,101
Ado_WATCHMEN.Seacoal,Ado_WATCHMEN.Seacoal,m,comedy,1,other,6,106
Ant_Agrippa,Ant_Agrippa,m,tragedy,1,other,2,376
Ant_Alexas,Ant_Alexas,m,tragedy,1,other,2,207
Ant_Ambassador,Ant_Ambassador,m,tragedy,3,other,2,107
Ant_Antony,Ant_Antony,m,tragedy,4,protag,0,5998
Ant_Canidius,Ant_Canidius,m,tragedy,1,other,2,165
Ant_Charmian,Ant_Charmian,f,tragedy,4,other,2,632
Ant_Cleopatra,Ant_Cleopatra,f,tragedy,4,other,0,4695
Ant_Diomedes,Ant_Diomedes,m,tragedy,1,other,2,128
Ant_Dolabella,Ant_Dolabella,m,tragedy,1,other,1,286
Ant_Enobarbus,Ant_Enobarbus,m,tragedy,4,other,1,2436
Ant_Eros,Ant_Eros,m,tragedy,4,other,6,284
Ant_GUARDS.Dercetus,Ant_GUARDS.Dercetus,m,tragedy,2,other,6,159
Ant_Iras,Ant_Iras,f,tragedy,1,other,2,160
Ant_Lepidus,Ant_Lepidus,m,tragedy,3,other,0,411
Ant_MESSENGERS.X.2,Ant_MESSENGERS.X.2,m,tragedy,1,other,6,224
Ant_Maecenas,Ant_Maecenas,m,tragedy,1,other,2,255
Ant_Mardian,Ant_Mardian,m,tragedy,3,other,2,118
Ant_Menas,Ant_Menas,m,tragedy,1,other,4,459
Ant_Octavia,Ant_Octavia,f,tragedy,2,other,1,234
Ant_Octavius,Ant_Octavius,m,tragedy,4,antag,0,2889
Ant_Philo,Ant_Philo,m,tragedy,3,other,2,125
Ant_Pompey,Ant_Pompey,m,tragedy,4,other,0,931
Ant_Proculeius,Ant_Proculeius,m,tragedy,1,other,2,211
Ant_Scarus,Ant_Scarus,m,tragedy,3,other,3,267
Ant_Thidias,Ant_Thidias,m,tragedy,1,other,2,182
Ant_Ventidius,Ant_Ventidius,m,tragedy,3,other,2,220
Cor_Adrian,Cor_Adrian,m,tragedy,4,other,6,160
Cor_Aufidius,Cor_Aufidius,m,tragedy,4,other,1,2034
Cor_CITIZENS.ROMAN,Cor_CITIZENS.ROMAN,m,tragedy,1,other,5,149
Cor_CITIZENS.ROMAN.0.1,Cor_CITIZENS.ROMAN.0.1,m,tragedy,1,other,5,477
Cor_CITIZENS.ROMAN.0.2,Cor_CITIZENS.ROMAN.0.2,m,tragedy,1,other,5,460
Cor_CITIZENS.ROMAN.0.3,Cor_CITIZENS.ROMAN.0.3,m,tragedy,1,other,5,186
Cor_CITIZENS.ROMAN.2,Cor_CITIZENS.ROMAN.2,m,tragedy,1,other,5,119
Cor_CITIZENS.ROMAN.3,Cor_CITIZENS.ROMAN.3,m,tragedy,1,other,5,461
Cor_Cominius,Cor_Cominius,m,tragedy,0,other,1,1919
Cor_Coriolanus,Cor_Coriolanus,m,tragedy,4,protag,1,6481
Cor_LORDS.VOLSCIAN.0.1,Cor_LORDS.VOLSCIAN.0.1,m,tragedy,1,other,1,100
Cor_Lartius,Cor_Lartius,m,tragedy,4,other,2,394
Cor_MESSENGERS.TRIBUNES.1,Cor_MESSENGERS.TRIBUNES.1,m,tragedy,0,other,6,109
Cor_MESSENGERS.TRIBUNES.2,Cor_MESSENGERS.TRIBUNES.2,m,tragedy,3,other,6,137
Cor_Menenius,Cor_Menenius,m,tragedy,4,other,1,4288
Cor_Nicanor,Cor_Nicanor,m,tragedy,3,other,6,234
Cor_OFFICERS.1,Cor_OFFICERS.1,m,tragedy,1,other,4,114
Cor_OFFICERS.2,Cor_OFFICERS.2,m,tragedy,1,other,4,186
Cor_SENATORS.ROMAN.0.1,Cor_SENATORS.ROMAN.0.1,m,tragedy,1,other,2,278
Cor_SENATORS.VOLSCIAN.0.1,Cor_SENATORS.VOLSCIAN.0.1,m,tragedy,1,other,2,108
Cor_SERVANTS.1,Cor_SERVANTS.1,m,tragedy,4,other,6,248
Cor_SERVANTS.2,Cor_SERVANTS.2,m,tragedy,2,other,6,267
Cor_SERVANTS.3,Cor_SERVANTS.3,m,tragedy,3,other,6,397
Cor_TRIBUNES.Brutus,Cor_TRIBUNES.Brutus,m,tragedy,1,antag,4,1603
Cor_TRIBUNES.Sicinius,Cor_TRIBUNES.Sicinius,m,tragedy,0,other,4,1927
Cor_Valeria,Cor_Valeria,f,tragedy,3,other,1,355
Cor_Virgilia,Cor_Virgilia,f,tragedy,2,other,1,238
Cor_Volumnia,Cor_Volumnia,f,tragedy,4,other,1,2414
Cor_WATCHMEN.1,Cor_WATCHMEN.1,m,tragedy,1,other,6,252
Cym_ATTENDANTS.0.2,Cym_ATTENDANTS.0.2,m,tragedy,3,other,1,102
Cym_ATTENDANTS.1,Cym_ATTENDANTS.1,m,tragedy,0,other,1,506
Cym_ATTENDANTS.CLOTEN.1,Cym_ATTENDANTS.CLOTEN.1,m,tragedy,3,other,1,190
Cym_ATTENDANTS.CLOTEN.2,Cym_ATTENDANTS.CLOTEN.2,m,tragedy,0,other,1,313
Cym_Arviragus,Cym_Arviragus,m,tragedy,2,other,1,947
Cym_Belarius,Cym_Belarius,m,tragedy,4,other,1,2503
Cym_Cloten,Cym_Cloten,m,tragedy,0,fool,1,2001
Cym_Cornelius,Cym_Cornelius,m,tragedy,4,other,3,522
Cym_Cymbeline,Cym_Cymbeline,m,tragedy,4,other,0,1988
Cym_Frenchman,Cym_Frenchman,m,tragedy,3,other,5,180
Cym_GHOSTS.Father,Cym_GHOSTS.Father,m,tragedy,4,other,2,230
Cym_Guiderius,Cym_Guiderius,m,tragedy,4,other,1,1110
Cym_Iachimo,Cym_Iachimo,m,tragedy,4,antag,2,3193
Cym_Imogen,Cym_Imogen,f,tragedy,2,protag,1,4417
Cym_JAILERS.1,Cym_JAILERS.1,m,tragedy,4,other,6,412
Cym_Jupiter,Cym_Jupiter,m,tragedy,0,other,7,154
Cym_Lucius,Cym_Lucius,m,tragedy,4,other,2,721
Cym_Philario,Cym_Philario,m,tragedy,0,other,2,292
Cym_Pisanio,Cym_Pisanio,m,tragedy,4,other,2,1499
Cym_Posthumus,Cym_Posthumus,m,tragedy,4,other,2,3391
Cym_Queen,Cym_Queen,f,tragedy,4,other,0,1209
Cym_SENATORS.1,Cym_SENATORS.1,m,tragedy,3,other,2,101
Err_Abbess,Err_Abbess,f,comedy,3,other,3,552
Err_Adriana,Err_Adriana,f,comedy,0,other,2,2093
Err_Angelo,Err_Angelo,m,comedy,4,other,3,634
Err_AntipholusOfEphesus,Err_AntipholusOfEphesus,m,comedy,2,antag,2,1745
Err_AntipholusOfSyracuse,Err_AntipholusOfSyracuse,m,comedy,2,protag,2,2083
Err_Balthasar,Err_Balthasar,m,comedy,3,other,3,202
Err_Courtesan,Err_Courtesan,f,comedy,0,other,4,293
